"pu_hour","pu_month","pu_wday","avg_tip_amount"
8,"May","Sun",1.93858158429248
8,"May","Mon",2.28287458745875
8,"May","Tue",2.20897356057117
8,"May","Wed",2.25586973551153
8,"May","Thu",2.26250741504477
8,"May","Fri",2.23007337605992
8,"May","Sat",1.90382466998316
8,"Jun","Sun",2.02708696409899
8,"Jun","Mon",2.27122831031845
8,"Jun","Tue",2.19088888888889
8,"Jun","Wed",2.24194629746953
8,"Jun","Thu",2.25600696688932
8,"Jun","Fri",2.2437709664344
8,"Jun","Sat",1.92020264346888
8,"Jul","Sun",2.04923214399694
8,"Jul","Mon",2.23685667079719
8,"Jul","Tue",2.19257482546485
8,"Jul","Wed",2.16880082260131
8,"Jul","Thu",2.26862731888068
8,"Jul","Fri",2.15538364408146
8,"Jul","Sat",1.90441339612768
8,"Aug","Sun",1.98282388472913
8,"Aug","Mon",2.24894223518174
8,"Aug","Tue",2.16889917647606
8,"Aug","Wed",2.16538372907394
8,"Aug","Thu",2.28471688121976
8,"Aug","Fri",2.17923810109458
8,"Aug","Sat",1.97776036120458
8,"Sep","Sun",1.98448699360341
8,"Sep","Mon",2.29965973933001
8,"Sep","Tue",2.26585547981122
8,"Sep","Wed",2.25873575505759
8,"Sep","Thu",2.27492429859133
